id,false_sent,connector,explanation0,explanation1,explanation2,label
9386,I will make sure the door is open when I leave the house, This is false because ,it's dangerous to leave the door open,a house may have many doors,we should carry the key with us when we go out,0
9387,I was so angry to see an old friend in a foreign land, This is false because ,we may have quarrels with our friends,friends are people we like to stay with,we will lose friends for some reasons,1
9388,she had a bad day and she felt white, This is false because ,white can't be used to describe a person's mood,nobody feels happy when they are unlucky,we need to remain optimistic in adversity,0
9389,"when my plants are dead, I water them", This is false because ,water can't live without water,it's meaningless to water the plants when they are already dead,the plants may die if you don't water them in time,1
9390,I enjoy the sunshine in the evening very much, This is false because ,sunshine in the evening is too strong,there's no sunshine in the evening,most people go to bed in the evening,1
9391,I was very happy because my big brother was born yesterday, This is false because ,children sometimes are shy to express their feeling,a newborn baby may make old kids jealous,I should be born later than my big brother,2
9392,I kicked the teammate into the goal and win the football match, This is false because ,it's rude to kick teammates,we don't know if the other team have scored,kicking the teammate into the goal can't score in the football match,2
9393,it's really cold so I light a screen to get warmth and light, This is false because ,weak light can also dissipate heat,the heat from the screen is not enough to warm a human,keeping screen lighting will consume power,1
9394,today I washed soup, This is false because ,soup is liquid and can't be washed,raw water can destroy a bowl of soup,soup is an important dish for most people,0
9395,I tripped on a rock and then flied, This is false because ,it's dangerous to fly without any protection,rock is too heavy to fly,human can't fly,2
9396,I drove from China to the North Pole, This is false because ,the temperature in the Arctic is too low that car will break down,China is too far from the North Pole,you need to take ship or plane to go to the Arctic from China,2
9397,many clouds fell to the ground during the windstorm yesterday, This is false because ,dark clouds heralded the windstorm,the cloud won't fall to the ground,cloud can cover the sun,1
9398,a salesman can fool a product, This is false because ,many people don't welcome salesman,good products don't need to be marketed,a product doesn't have life and can't be fooled,2
9399,you can gather energy by taking exercise, This is false because ,excessive exercise can lead to some health problems,everyone need to take exercise to keep healthy,taking exercise consumes energy,2
9400,anything can't be bought for the high price, This is false because ,rich people can afford high prices,cheap price is more attractive for consumers,you can buy many things at a reasonable price,2
9401,I bought him knowledge, This is false because ,knowledge is a bad gift,knowledge can't be bought,knowledge is too expensive,1
9402,I left my car in my wallet, This is false because ,usually a car is more expensive than a wallet,a car is too big to put in a wallet,people usually don't carry a car with themselves,1
9403,you need the right swimsuit if you want to fish, This is false because ,colorful swimsuit can attract fish,people can both swim and fish in water,fishing doesn't require a swimsuit,2
9404,we need a referee to ensure the game is fantastic, This is false because ,referee's duty is to oversee the game,games are less entertaining because of rules,a game may not require a referee,0
9405,I send my new book to hospitals to sell it, This is false because ,people don't buy books in hospital,we can learn medical knowledge from books,reading is forbidden in hospital,0
9406,I caught this rabbit on the Moon, This is false because ,there's no life in the Moon,one day human will build a zoo on the Moon,ancient Chinese believed there was a rabbit on the Moon,0
9407,"when I am not fit, I will go to the pharmacy to ask help from a doctor", This is false because ,there's no doctor in pharmacy,we buy medicine from pharmacy to treat illness,we can cure some minor illness by ourselves,0
9408,we can find sugar in ocean water, This is false because ,fresh water is tasteless but ocean water isn't,there is no sugar in ocean water,human can't drink ocean water,1
9409,a thousand microphones are going to listen to his speech today, This is false because ,microphones don't have life,the microphone is an important tool for speech,"the more listeners, the more nervous the speaker is",0
9410,I lost my car in the traffic jam, This is false because ,I can't lose my car when I'm driving,no one wants to meet a traffic jam,there will be many cars in a traffic jam,0
9411,the criminal was sent to prison but he felt very regretful, This is false because ,feeling regretful for being sent to prison makes sense,the criminal may feel scared because prison can be dangerous,people may not feel sorry when they are punished,0
9412,the cry of the audience is the best encouragement for the comedian, This is false because ,cry can ease bad emotions,applause is a more common way of encouragement,comedians' job is to make the audience happy,2
9413,I had a sleep to lie in the bed, This is false because ,you don't need to have a sleep before lying to bed,bed is not the only choice to have a sleep,you need to have a sleep before doing many things,0
9414,I felt very nervous after taking the midterm, This is false because ,a certain degree of tension will make you perform better,we should continue to study after the exam,you don't need to feel nervous since the exam is over,2
9415,throw things you don't understand anymore into the trash container, This is false because ,sometimes people will resist things they don't understand,something you don't understand may still be useful,trash container has limited capacity,1
9416,you need to play baseball well before going to watch a baseball game, This is false because ,many audience of baseball game knows the baseball well,audience of baseball game don't need to play baseball well,people having no interest in baseball can't play baseball well,1
9417,every morning I read the news on the diary, This is false because ,news travels faster and faster nowadays,more and more people read news on the Internet,things written in the diary is not news,2
9418,soccer ball is a kind of sport, This is false because ,a sport is an activity,many sports require specific equipment,soccer ball can be used in many sports,0
9419,I buy this book from the library, This is false because ,buying a book means you don't need to return it back,the library is open to everyone,books in the library are not for sale,2
9420,drinking too much coffee can make you drunk, This is false because ,coffee is not a kind of alcoholic drink,excessive coffee is bad for health,coffee is very popular as a kind of drink,0
9421,I am used to having a cup of vodka for waking up in the morning, This is false because ,drinking too much vodka is bad for health,people prefer to drink at night,the alcohol in vodka will make people drunk and stupid,2
9422,grass is a common material for a bowl, This is false because ,grass is too soft to make a bowl,grass is too heavy to make a bowl,people don't eat grass,0
9423,I need to see a psychologist because I had violent stomach pains, This is false because ,mental illness needs more attention,some stomach problems can be cured by ourselves,psychologist can't cure physical illness,2
9424,my lifestyle is green and I plant fertilizer every year, This is false because ,fertilizer is not a plant and can't be planted,fertilizer is not environmentally friendly,plants can grow better with fertilizer,0
9425,I bought a ticket and act in a movie at the cinema, This is false because ,there are too many actors in a cinema,a cinema is a place to play films rather than shooting films,actors can go to the cinema without buying tickets,1
9426,It's very interesting to ride a cat on the grassland, This is false because ,cat can't live on the grassland,a human is too heavy to ride a cat generally,riding a cat is very boring,1
9427,they began to enjoy being apart after they fell in love, This is false because ,people who love each other may also quarrel,lovers always want to stay together,lovers will not be apart,1
9428,parents often use chocolate to punish their children, This is false because ,children care more about toys,parents need to be careful when punishing their children,most children love eating chocolate,2
9429,Tom was very happy because he was bullied in school, This is false because ,campus bullying is a social issue,students who bully others should be punished,victims of bullying will be painful,2
9430,eating salty food would make you hungry, This is false because ,people will become happy after eating food,daily salt intake should be controlled in an appropriate amount,people will become full after eating food,2
9431,using a washing machine to wash vegetables is very convenient, This is false because ,a washing machine is too big for vegetables,vegetables can be washed cleaner by hand washing,washing machine is used to wash clothes,2
9432,I paid to grow longer hair, This is false because ,hair will grow longer without spending money,people pay more and more money on their hairstyle nowadays,almost everything can be bought by money,0
9433,I have a basket for drinking water in my office, This is false because ,baskets have many gaps and can't hold liquid,using baskets to drink water is not comfortable,basket is usually bigger than bottle as a container,0
9434,we use glue to ensure that shoes will not drop when walking, This is false because ,using glue will make us can't take off shoes,many people don't like the smell of glue,shoes will not drop as long as we walk slowly,0
9435,my dream is to be a teacher because I want to share my food, This is false because ,students will bring their own food to school,students don't like teachers' food,sharing food is not teachers' duty,2
9436,child need to be taught how to laugh, This is false because ,children are born with the ability to laugh,everything need to be taught for a newborn baby,laughing needs many skills,0
9437,the taste in art is an objective matter, This is false because ,not everyone is interested in art,most artworks are not edible,we taste art based on our own ideas,2
9438,the airport is one of the fastest things in the world, This is false because ,many people go to the airport to seek fast transportation,fast transportation requires a high price,the airport is a building and can't move,2
9439,the weight machine showed that I had grown taller, This is false because ,the weight machine can't measure a person's height,most people feel happy when they grow taller,people will no longer grow taller when they are way beyond their adolescence,0
9440,you need to invigilate exams if you want to graduate, This is false because ,invigilation means teachers don't trust students,invigilation is the teachers' job,sometimes teachers need students' help,1
9441,"because he is rich, he lives a frugal life", This is false because ,it's impossible for rich people to live frugally,rich people don't need to live frugally,living a frugal life still costs money,1
9442,I carried a fork to eat soup, This is false because ,Asians are not used to using forks,people can be hurt by forks,fork can't hold liquid,2
9443,"to be a husband, you need to accept strict training", This is false because ,completing rigorous training is a very challenging thing,being a husband doesn't require special skills,it's difficult to be a good husband,1
9444,the dog barked all day and I had to wear nasal plugs, This is false because ,barking is not so bad for some people,barking is not a kind of smell,no dog can bark all day,1
9445,I prepared a rocket to go to American, This is false because ,the rocket is too difficult to operate,the rocket is used for space travel,America has the most rockets in the world,1
9446,I will wear thicker eyeglasses in winter to stay warm, This is false because ,thick eyeglasses can be too heavy to wear,eyeglasses can't be used to keep warm,you can wear eyeglasses in any season,1
9447,I pulled the door shut with my eye, This is false because ,the eyes are too far from the door,eyes can't move the door,you need to find the knob first to pull the door,1
9448,I used my third hand to lift my coat, This is false because ,the third hand is too weak to lift the coat,human only have two hands,we can put on the coat without lifting it,1
9449,cut your fingernails if you don't want your socks to have holes, This is false because ,socks will have holes no matter what you do,when you cut your fingernails you won't feel painful,socks are not worn on the hands,2
9450,after finishing all my work I felt very stressful, This is false because ,you don't need to feel pressure when you finish your work,sometimes pressure can produce power for you to do your work,you should feel tired when you finished a lot of work,0
9451,you can find clouds underground, This is false because ,only by digging you can find things underground,there's no space for clouds underground,clouds only stay in the sky,2
9452,we added steel to keep the fire burning, This is false because ,steel is too heavy to move,using steel as a fuel is too expensive,steel is not flammable,2
9453,it's ok to go when the traffic light is red, This is false because ,people violating traffic rules will be punished,a red traffic light means stop,there may be no cars when the traffic light is red,1
9454,people in the desert often look forward to flood, This is false because ,flood is a natural disaster and nobody wants it,a flood means there will be a lot of water,people in the desert have their own ways to get water,0
9455,my favorite thing is surfing in the swimming pool, This is false because ,it's dangerous to surf in the swimming pool,you may hit people who are swimming if you surf in the swimming pool,swimming pools don't have the wave that surfing needs,2
9456,today I forgot to bring my mouth and couldn't have lunch, This is false because ,mouth is a part of the body and can't be forgotten,mouth is not the only thing you need to have lunch,you can borrow other people's mouth to have lunch,0
9457,you need a compass to measure the distance, This is false because ,a compass is not a measuring tool,a compass can draw different distances,students use compasses most often,0
9458,her snide comment about my weight greatly encouraged me, This is false because ,being laughed at by others is a painful thing,encouragement have many forms,we shouldn't care too much about what others have said,0
9459,the ground was covered by wind after the storm, This is false because ,the wind is made up of air and can cover nothing,the storm can bring a lot of wind,the storm will blow away everything on the ground,0
9460,we can see different moon by traveling, This is false because ,moon can't be seen in the daytime,there's only one moon in the world,you can see different things in the sky in different places,1
9461,Jim stole her heart and now he is a criminal, This is false because ,let others fall in love is not a crime,the criminal can be either a man or a woman,only the policeman can arrest criminals,0
9462,people smoke to get sick, This is false because ,some people smoke but they are healthy,nobody wants to get sick,smoking in public is prohibited,1
9463,every boat has a life jacket to prevent a person from falling in water, This is false because ,people wearing life jacket may still fall into the water,life jackets have saved many people's life,a life jacket is a flotation device,0
9464,the drink is too iced so I dropped many ice cubes in, This is false because ,ice cubes will only make the drink more iced,western people are more accustomed to drinking cold drinks,cold drinks are not welcomed in winter,0
9465,a good cooker can cook good food, This is false because ,using good cooker can also cook bad food,cookers are tools to cook food,cooker has little to do with food's quality,1
9466,we dug on the wall to drill a well for the village, This is false because ,there's no water in the wall,the wall is too small for a well,digging on the ground only needs one people,0
9467,he is such a smart boy that he learns everything slowly, This is false because ,smart people can also do things slowly,smart people learn things fast,IQ is not the only thing that can influence the speed of learning,1
9468,he can't walk with an injured hand, This is false because ,people can't wear shoes with injured hands,we don't use hand to walk,strenuous exercise is not conducive to recovery,1
9469,I was so hungry that I ate the whole elephant, This is false because ,an elephant is too big for a human's stomach,overeating is not healthy,eating elephants is not allowed in many countries,0
9470,the chef is hired to eat food for customers, This is false because ,the chef's job is cooking,people don't want someone else to eat their food,people can also get food without a chef,0
9471,he is a nice boy because he yells at everyone, This is false because ,nice people will also be angry,it's very rude to yell at others,sometimes you can have a clearer expression with a loud voice,1
9472,my cat feeds me every day, This is false because ,you need to be responsible for your pet,animals can't prepare food for humans,pets like staying with their owners,1
9473,I put on my clothes to take a shower, This is false because ,washing machine is a better choice for washing clothes,your body can't get clean with clothes worn,clothes shouldn't be washed with the body together,1
9474,Tom smashed glass and reused it after cleaning, This is false because ,glass shards may hurt people,a glass can't be reused after breaking in pieces,Tom may broke the glass again,1
9475,I stored my boxes in a book, This is false because ,there's no space in a book to store boxes,boxes are very useful and shouldn't be stored,it's inconvenient to read with things stored in books,0
9476,you have to sing if you want to catch a fish, This is false because ,singing is a good choice when you feel bored,fishing is prohibited in certain waters,you can catch a fish without singing,2
9477,I need to go to the hospital to treat my tail, This is false because ,it's difficult to move with an injured tail,humans don't have tails,the tail is important to animals to keep balance,1
9478,he got married and became a single man, This is false because ,married people are not single,marriage is a happy thing,living a single life will make people feel lonely,0
9479,trees grow leaves to prevent being knocked down, This is false because ,trees will stop growing without leaves,leaves have nothing to do with fixing trees,trees will no longer grow leaves after being knocked down,1
9480,we are all very angry that it's sunny again after so many days raining, This is false because ,not all the people like sunny day,most people consider sunny day a pleasant thing,rain is an important source of water for people,1
9481,I'm looking for the handrail to go upstairs, This is false because ,taking the elevator up and down the stairs is the easiest way,people can't walk in the handrail,going upstairs without the handrail is dangerous,1
9482,I applied for the job to relax, This is false because ,work is a burden for most people,most adults need a job,you can relax beyond working hours,0
9483,I bought a new toothbrush to clean my face, This is false because ,toothbrush should be replaced at regular intervals,the face is too big for the toothbrush,toothbrush is used to clean teeth,2
9484,I used an umbrella to avoid drenching on the beach, This is false because ,people prefer to go to the beach on a sunny day,people don't mind getting wet if they choose to go to the beach,rain isn't the main cause of drenching on the beach,2
9485,I hurried to the ticket window to sell two tickets, This is false because ,in many situations one person can only buy one ticket,no customer wants to buy tickets from other customers,ticket windows don't buy tickets from customers,2
9486,bad luck is part of the reason I can succeed, This is false because ,bad luck leads to bad things,nobody wants bad luck,a person can also succeed even if he is an unfortunate person,0
9487,I connected to the hi-fi to shop online, This is false because ,people still enjoy shopping in the offline store,the hi-fi can work without the Internet,people can shop online without the hi-fi,2
9488,Alice lacks the laziness to be in charge of a project, This is false because ,it's ok to be lazy in free time,being in charge of a project means you are responsible for everything,being in charge of a project doesn't need laziness,2
9489,"as a butcher, I killed farmers every day", This is false because ,nobody wants to work everyday,butchers and farmers often have deals,murder is against the law,2
9490,tomato paste is common in the bathroom, This is false because ,the tomato paste is red,the tomato paste is mostly used in the kitchen,the tomato paste is well used for flavor,1
9491,my baby needs a bottle of beer every day, This is false because ,babies don't need beer,beer is bitter and babies like things sweet,a bottle of drink is too much for a baby,0
9492,he brought a moon for his wife, This is false because ,moon belongs to everyone,no one can buy moon now,you can see moon every night in the sky,1
9493,Tom hunted a bear in the library, This is false because ,the bear can kill a man easily,bears are very rare now so we shouldn't hunt them,the library isn't the habitat of bears,2
9494,he went to the kitchen because he felt sleepy, This is false because ,he can make breakfast in the kitchen,he overworked in the daytime so he felt sleepy,kitchen doesn't have sleep equipment,2
9495,he was very sad when his pay raised, This is false because ,not everything can be bought by money,money is not the most important thing for some people,have higher payment is a good thing,2
9496,the baby kangaroo will be put in its mother's hands, This is false because ,kangaroos have too many babies and they don't have enough hands,kangaroos stay in their mothers' pouch when they are young,kangaroos come from Australia,1
9497,we always drink apples at breakfast, This is false because ,apples are not liquid,some people don't like apples,apples are tasty and nutritious,0
9498,I felt energetic after having expired food, This is false because ,expired food doesn't taste good,expired food is bad for health,expired food is some poor people's food,1
9499,a credit card allows me not to pay money, This is false because ,you need to pay money back to the bank after using a credit card,you need to apply to the bank for credit cards,only thief can take things free,0
9500,I do homework every day to keep healthy, This is false because ,doing homework can take up most time of a day,doing homework can't make you healthier,doing homework is important to pass the exam,1
9501,I built a car in the store, This is false because ,a person can be unsatisfied with all the cars exhibited in the store,there's no equipment to build a car in the store,there are just a few kinds of cars in the store,1
9502,she is good at swimming so she plays water polo well, This is false because ,swimming is only a part of playing water ball,water polo is a difficult sport,a water polo game needs more than one players,0
9503,I swim well so I have an advantage in art, This is false because ,people can be both good at swimming and art,swimming is not a kind of art,swimming well needs strict training,1
9504,her skin got whiter after sunbathing, This is false because ,sunbathing can lead to many health problems,many girls want to have white skin,sunlight can make skin darker,2
9505,I speeded up my car to park it, This is false because ,keeping speeding up will lead to over-speed driving,the faster a car runs the more difficult it is to stop it,parking is only allowed at designated locations,1
9506,I am looking for a new wife after being fired, This is false because ,holding a wedding needs money,what you lost is a job when you are fired,your wife will encourage when you encounter setbacks,1
9507,you need hardware or software to surf the Internet, This is false because ,sometimes we can't get hardware and software in the same place,it's very easy to connect to the Internet nowadays,we can't surf the Internet with only hardware or software,2
9508,I helped the robot to find its dad, This is false because ,robots are all from the factory,it's easy to distinguish a robot,one day robots will have human feelings,0
9509,I prepared some fuel to power myself, This is false because ,humans don't eat fuel,the taste of fuel is bad,sleep is the most effective way to power people,0
9510,policeman tried to arrest criminals to send them home, This is false because ,criminals often hide at home to avoid arrest,the policeman is often very busy,criminals are punished by staying in prison,2
9511,I will go to the hospital tomorrow to check if I'm alive, This is false because ,the hospital can't make dead people alive again,hospitals have saved a lot of people's lives,a person can't go to the hospital if he is dead,2
9512,I saw the sound of the birds, This is false because ,sound can't be seen,birds may not be singing when you see it,most birds are afraid of people,0
9513,nurses take care of doctors, This is false because ,doctors don't need the care of nurses,doctors and nurses often work together,no one will take care of the doctor,0
9514,the fans sat in the soccer field to enjoy the football match, This is false because ,soccer field doesn't have a good perspective of watching the game,soccer field can't accommodate many people,soccer field is used to play soccer,2
9515,I called a taxi and paid for the car, This is false because ,"to be a driver, you need to have a car first",the taxi driver won't agree to sell the car,taxi isn't a car for sale,2
9516,I keep things messy so that I can find something quick, This is false because ,it's difficult to find things in a mass,keeping things messy is a bad habit,when you try to find something you need to be patient,0
9517,I wore my wedding ring on my left foot, This is false because ,ring should be worn on the hand,walking with a ring on your feet is very uncomfortable,wedding rings need to be kept safe,0
9518,a ruler can help you do sums faster, This is false because ,you can use rulers to get data,rulers can't calculate numbers,you can do sums without any tools,1
9519,villagers planted a well to get water, This is false because ,the well grows too slow,villagers need water to farm,the well is not a plant,2
9520,I used steel to make a fish tank by myself, This is false because ,steel is one of the most sturdy materials,making fish tanks need transparent material,using steel to make fish tanks is too expensive,1
9521,I put my books in the wine rack, This is false because ,people are unable to understand the book when they are drunk,the wine rack isn't suitable for putting books,reading books with a cup of drink is very elegant,1
9522,everyone is amazed at her appearance when they first time smell her, This is false because ,we can't judge others only by appearance,we can't judge one's appearance by smelling,bathing on a regular basis will make you smell good,1
9523,we need woods to produce erasers, This is false because ,the eraser is a common stationery,extensive deforestation is not environmentally friendly,erasers are made by rubber,2
9524,I sunbathe on the dressing room every summer vacation, This is false because ,there's no sun light in the dressing room,people usually change clothes before sunbathing,staying in a dressing room for a long time is really weird,0
9525,a rainy day is a good chance to dry the clothes, This is false because ,we can use the rain water to wash clothes,people can only do indoor activities on rainy days,clothes dry very slow in a damp environment,2
9526,if you are robbed you should call the firefighter, This is false because ,people may feel too scared and don't know what to do,firefighters are responsible for handling fires,robbery usually happens in the bank,1
9527,he had an operation on his mind yesterday, This is false because ,curing mental illness is very difficult,the mind is not a human organ,operation on mind is very dangerous,1
9528,the bait is a very common dish for coastal people, This is false because ,fishermen can still fish without the bait,nobody knows how to cook the bait,the bait is not food for people,2
9529,I see a duck diving in the river, This is false because ,the river will be too cold to swim in winter,the duck can't dive in the water,ducks can avoid natural enemies by diving,1
9530,I spent more time on having fun so I had better grades, This is false because ,all work and no play makes Jack a dull boy,having fun can't help you study better,many people met their best friends in school,1
9531,Elisa was terrified bitten by a book, This is false because ,the snake might be poisonous while the book might not,the book is about a terrifying story,a book cannot bite,2
9532,I use the fork to cut the beef, This is false because ,forks are more useful in eating steak,the fork is not suitable for cutting,beef doesn't need to be cut,1
9533,eating too much is an unhealthy way to lose weight, This is false because ,eating too much can't help you lose weight,eating will make people happy,people can keep healthy by eating healthy food,0
9534,she was very angry when her son was admitted to the best school, This is false because ,she don't know school the school is the best,only the best students can be admitted to the best school,parents want their kids to go to the best school,2
9535,wine cellars are not just for drinking, This is false because ,wine cellars are used to store wine,people often chat with others when they are drinking,wine cellars are not open to everyone,0
9536,my grandpa can't sleep so he took stimulant pills, This is false because ,we should take stimulants under the guidance of doctors,stimulant pills will make people feel more excited,there are many other ways to help people fall asleep,1
9537,I'm looking for a policeman to mail the letter, This is false because ,policemen are too busy to mail the letter,everyone uses email now,the policeman only handles crimes,2
9538,every time my cat eats bamboo it is very happy, This is false because ,cats eat different food,bamboo is very easy to get,cats don't eat bamboo,2
9539,we protect pandas in the zoo so they are rare, This is false because ,there are many wild pandas now,pandas are one of the most popular animals in the zoo,zoos also collect common animals,2
9540,she can become a model because she is out of shape, This is false because ,a model needs a good figure,people always admire models,she eats too much so she is out of shape,0
9541,she asked the cook to add more salt because she loved sweets, This is false because ,too much salt can lead to death,salt can't make food sweeter,sweet food is an important cause of obesity,1
9542,we listened carefully to what the teacher was thinking, This is false because ,people can't hear others' mind,sometimes we are very curious about what others are thinking,listening carefully during classes is a good thing,0
9543,you need a hat to prevent the spread of infection, This is false because ,hats can't stop the infection,hats are useful when the sunlight is glaring,wearing a hat is impolite on some occasions,0
9544,I bought a razor for my mother as a gift, This is false because ,woman don't sprout a beard,children shouldn't buy expensive gifts for parents,usually children love their parents very much,0
9545,you need to hang off the phone when the phone is ringing, This is false because ,you don't want your phone rings when you are in a meeting,the phone ringing means a call came in,sometimes you don't want to pick up someone's phone,1
9546,we agreed on a location before we had a call, This is false because ,sometimes it's a difficult thing to reach an agreement,calling doesn't require people to stay in the same place,people can't answer the phone when they are busy,1
9547,the root shelters us from the rain, This is false because ,the root grows underground,trees can't live without roots,we usually use umbrellas on rainy days,0
9548,we should order as much food as we can in the restaurant, This is false because ,we should share our food with others,the restaurant don't have so much food,ordering too much food will cause food waste,2
9549,Muslims do not eat pork because of the taste, This is false because ,now people are becoming more aware of protecting animals,Islam doesn't allow believers to eat pork,the taste of the pork is decided by chefs,1
9550,Coca-Cola has been popular for hundreds of years because of its name, This is false because ,nobody likes Coca-Cola's name,people are attracted by the taste of the drink,it's amazing that a drink can be popular for hundreds of years,1
9551,I just can't balance myself to drive the car, This is false because ,it's ok to make some mistakes during your learning,driving doesn't require drivers to balance themselves,you can learn driving faster if you have some gifts,1
9552,he grew up one year younger after every birthday, This is false because ,people can't grow younger,people usually feel very happy on their birthday,many people want to be young again,0
9553,air conditioning can change the brightness effectively, This is false because ,air conditioning is not used for lighting,there are many kinds of lighting tools,air conditioning consumes a lot of electricity,0
9554,I got married after I found out that my wife had cheated on me, This is false because ,the husband can choose to forgive his wife,no one will marry an unfaithful woman,marriage is one of the most important things in a person's life,1
9555,I used the water to pack the pork, This is false because ,both people and pigs can't live without water,only solid can pack things,we should use water to clean the pork before cooking it,1
9556,I need toothpaste to take a shower, This is false because ,some toothpaste can't clean things well,people may forget to carry a toothpaste when they go on a trip,toothpaste is used to brush teeth,2
9557,the heroine kisses the audience in this movie, This is false because ,things that are impossible in life can happen in movies,people in the movie can't interact with the audience,we shouldn't kiss strangers,1
9558,people in the desert don't need water, This is false because ,people can live without water for about three days,everyone needs to drink water,some people prefer drinks to water,1
9559,queuing is a punishment for destroying order, This is false because ,people who haven't made mistakes should also line up,nobody wants to stand in a long queue,people who break the rules should be punished more severely,0
9560,ears are the organs we use to breathe, This is false because ,ears are used to listen,we can use mouth to breathe too,we can don't breathe for a few seconds,0
9561,we planted mines for a better world, This is false because ,only a few people can't change the world,mines can protect us,mines kill people and make the world worse,2
9562,running can improve our thinking ability, This is false because ,thinking ability is an important ability for everyone,running consumes too much energy,running improves our athletic ability,2
9563,spring is the season of harvest, This is false because ,spring is the season of sowing,there are four seasons in one year,it rains too much in spring,0
9564,advertising is used to show the shortcomings of products, This is false because ,customers are more concerned about the advantages,every product has its advantages and disadvantages,advertising is designed to attract people to buy products,2
9565,she employs a chef because she can't drive, This is false because ,the chef can't help her drive her car,chefs can't cook food in a car,employing a chef costs a lot of money,0
9566,it's a great honor for me to have a talk with my mother, This is false because ,we speak less to our mothers when we grow older,speaking to mother is a normal thing,we should respect our parents,1
9567,he needed a calculator to solve this simple calculation, This is false because ,people can solve simple calculations by ourselves,calculator is a good learning tool,doing calculation can improve our math ability,0
9568,chatting with American is good for our Chinese learning, This is false because ,American doesn't speak Chinese,now we can chat with foreigners on the Internet,more and more people speak Chinese now,0
9569,farmers can pick up apples on the ground, This is false because ,books are not containers,not everyone has books,we should treasure our books,0
9570,Americans couldn't understand what he said because of his standard spoken English, This is false because ,it's impossible to speak local language standardly for foreigners,learning a foreign language is very useful,standard English is easy to understand for Americans,2
9571,illness can be cured during routine physicals, This is false because ,routine physicals don't include any treatment,doing routine physicals needs to be allowed by doctors,curing illness needs a long time,0
9572,I earned money by sleeping, This is false because ,you can make a lot of money in your dreams,you can do nothing without sleeping,nobody will pay you for sleeping,2
9573,my father found that he was pregnant yesterday, This is false because ,men don't want to be pregnant,only women can be pregnant,parents can have more than one child,1
9574,my nice wearing left a bad impression on him, This is false because ,we shouldn't judge someone only through his appearance,the first impression may change later,people admire those wearing nicely,2
9575,my new day began with a beautiful afternoon, This is false because ,some people will have a sleep in the afternoon,few people get up in the afternoon,afternoon comes later than morning in a day,2
9576,I bought some beds to open a cafe, This is false because ,beds are too expensive,sitting on the bed is uncomfortable,the cafe is not a place to sleep,2
9577,rice is the main food for all the people, This is false because ,we can also live without the main food,Asians love rice most,not everyone eats rice,2
9578,the game company makes games for encouragement, This is false because ,people set up companies to make money,players will praise a good game,many people download games free on the Internet,0
9579,the shopping mall is filled with car parks, This is false because ,the shopping mall is mainly used for shopping,most shopping malls will provide parking lots to customers,not all the customers drive to shopping malls,0
9580,the poem used many beautiful pictures, This is false because ,a poem is made of words,poets don't know how to draw,pictures are more difficult to understand,0
9581,a wall without touching the sky is impossible, This is false because ,it would be too expensive if the wall was built too high,no wall can touch the sky,nothing is impossible,1
9582,the handle on the door is for decoration, This is false because ,the handle on the door is a very practical thing,doors look better without handles,some decorations can also be very useful,0
9583,newspapers are printed by journalists, This is false because ,now more and more people no longer choose paper newspapers,journalists write articles in a newspaper,journalists can be taught how to print newspapers,1
9584,I need to buy a CD to watch videos at home, This is false because ,watching videos at home doesn't need CDs anymore,a CD can't store videos,renting CDs is a cheaper choice,1
9585,you can download a wrench on the Internet to fix the windows, This is false because ,we can't get everything on the Internet,windows can be fixed with other tools,hardware can't be downloaded,2
9586,I bought a headphone to share the music with others, This is false because ,the headphone is a private music player,playing music outside can be annoying,others can use their own phones to enjoy music,0
9587,my parents went to the same public toilet just now, This is false because ,public toilets are divided by different genders,couples often go to the same place together,people still need private space after getting married,0
9588,my mother asks me to litter my room every day, This is false because ,kids will litter their rooms without parents' reminding,parents want their kids' rooms clean and tidy,"once you litter your room, it will be messy forever",1
9589,programmers plant crops every day to earn money, This is false because ,programmers are not farmers,programmers can't work without eating crops,programmers can use money to buy crops,0
9590,you don't need learning to be a musician, This is false because ,to be a musician you need gifts,everyone can be a musician because everyone can sing by nature,musicians need to have a lot of professional knowledge,2
9591,the library is a good place to sleep because of its quiet environment, This is false because ,libraries don't open in the evening,you can fall asleep in noisy environments as long as you are tired enough,libraries are not used for sleeping,2
9592,I'm writing code on the paper, This is false because ,code on the paper can't run,you can write nothing without pencils,code on the paper can't be deleted,0
9593,I used plastic bags to be environmentally friendly, This is false because ,now supermarkets don't provide free plastic bags,more and more people began to concern environmental problems,plastic bags have caused many environmental problems,2
9594,we can work in the night thanks to the sunlight, This is false because ,people should go to bed in the night rather than keeping working,the sun is on the other side of the earth in the night,someone turns off the sunlight in the night,1
9595,soldiers wore fatigues to be attractive in the jungle, This is false because ,war in the forest is not environmentally friendly,fatigues are used to camouflage something,soldiers need comrades' attention in a battle,1
9596,I gradually recalled something due to the memory decay, This is false because ,memory decay can be cured,recalling something requires a good memory,forgetting something bad is better than recalling it,1
9597,Japanese has borrowed heavily from barking, This is false because ,Japanese has its own vocabulary and doesn't need to borrow from other languages,barking is annoying for everyone,barking is not a human language,2
9598,I need a stamp to send this email, This is false because ,stamps are totally useless now,sending emails doesn't need stamps,electricity is more important than stamps in sending emails,1
9599,I encourage my daughter to walk alone in the darkness, This is false because ,daughters need the company of their fathers as they grow up,walking alone in darkness is considered a dangerous thing,it takes great courage to walk alone in the darkness,1
